id,routine,thread,avgPercent,avgTime,minTime,maxTime,stddev,avgTimeTotal,minTimeTotal,maxTimeTotal,numCalls,cumulative,imbalance
702,LEDIR_DGEMM_1,6,0.11858585858585803,0.5358585858585858,0.45299999999999996,0.591,0.019799122906547093,0.5365353535353531,0.45399999999999996,0.5920000000000001,247200,410.50199999999995,23.350253807106604
703,>MPL-BROADCAST IOSTREAM GR( 632),1,0.06515151515151514,0.2961666666666667,0.0,0.573,0.20397636238117497,0.2961666666666667,0.0,0.573,264,454.48,100.0
705,GPRH,6,0.12060606060606013,0.547969696969697,0.488,0.584,0.016646103156225073,0.5527424242424243,0.49200000000000005,0.589,4092000,408.536,16.438356164383556
714,LATTES,6,0.11090909090909079,0.5035378787878784,0.43799999999999994,0.612,0.032767784110144964,2.8033484848484855,2.372,3.387,3969240,412.88300000000004,28.431372549019617
718,SURFTSTP_CTL_MOD:SURFTSTP_CTL,6,0.11845959595959542,0.5327020202020201,0.49700000000000005,0.583,0.014596066609378473,1.7709747474747473,1.379,2.53,3969240,408.536,14.751286449399641
722,>MPL-MPDECOMP WAM         ( 694),1,0.11893939393939401,0.5465,0.085,0.568,0.0583338534775345,1.5794696969696962,0.679,1.6219999999999999,19338,441.089,85.03521126760563
724,CREATE_PLAN_FFTW,6,0.09691919191919195,0.4385580808080807,0.124,0.7659999999999999,0.15669373226777009,0.5318560606060608,0.174,0.877,966400,438.774,83.81201044386422
727,LEDIR_DGEMM_2,6,0.1094191919191917,0.49376767676767686,0.42200000000000004,0.545,0.02061513676782224,0.4943181818181821,0.423,0.546,247200,413.62199999999996,22.56880733944954
728,LOCAL_ARRAYS_INI,6,0.10924242424242395,0.49147222222222237,0.456,0.542,0.0134998072601754,0.4954823232323236,0.46,0.547,3969240,410.586,15.867158671586717
731,radiation_adding_ica_lw:calc_fluxes_no_scattering_lw,6,0.10828282828282827,0.4899419191919189,0.42100000000000004,0.5660000000000001,0.030065989201872676,0.49112878787878766,0.42200000000000004,0.5670000000000001,973440,412.99800000000005,25.618374558303884
